Country,Value
China,1731
Hong Kong,1637
Finland,1631
Japan,1588
Canada,1580
Germany,1530
England,1505
France,1491
Ireland,1491
Northern Ireland,1490
Scotland,1481
Italy,1458
Wales,1440
